NumTrees,TrainingTime_ms,PredictionTime_ms,Accuracy,MemoryUsage_MB,SamplesPerTree,FeaturesPerTree,TrainingThroughput_samples_per_sec,PredictionThroughput_samples_per_sec,F1Score,Precision,Recall
10,32350,234.031,0.6525,0,400,17,12.3648,1709.18,0.634401,0.654843,0.637112
50,26408.1,579.443,0.6975,0,400,17,15.1469,690.318,0.689805,0.696564,0.688754
100,45783.3,1201.78,0.7075,0,400,17,8.73682,332.838,0.699567,0.707555,0.698365
150,49184.3,2650.32,0.695,0,400,17,8.13267,150.925,0.68798,0.69339,0.68695
200,69199.5,2447.96,0.695,0,400,17,5.78038,163.401,0.68845,0.693079,0.687429
10,53093.5,184.293,0.702,0,500,17,9.41734,2713.08,0.688252,0.709445,0.688508
50,49763.7,895.141,0.724,0,500,17,10.0475,558.571,0.716749,0.72522,0.715335
100,79588.7,1823.71,0.718,0,500,17,6.2823,274.167,0.7104,0.719122,0.709098
150,72107,4862.63,0.726,0,500,17,6.93414,102.825,0.720032,0.725833,0.718651
200,122953,5249.74,0.718,0,500,17,4.06661,95.2429,0.711858,0.7175,0.710582
