NumTrees,NumThreads,TrainingTime_ms,PredictionTime_ms,TotalTime_ms,Accuracy,MemoryUsage_MB,SamplesPerTree,FeaturesPerTree,TrainingThroughput_samples_per_sec,PredictionThroughput_samples_per_sec,F1Score,Precision,Recall,TrainingSpeedup,PredictionSpeedup,OverallSpeedup,TrainingEfficiency,PredictionEfficiency,OverallEfficiency
36,3,6741.07,29.7048,6770.78,0.718,3,2000,17,296.689,33664.6,0.71115,0.72226,0.710702,1,1,1,1,1,1
50,3,9390.56,40.4632,9431.02,0.731,1,2000,17,212.98,24713.8,0.723472,0.737988,0.722993,1,1,1,1,1,1
100,3,18649.1,84.4859,18733.6,0.728,4,2000,17,107.244,11836.3,0.720292,0.734958,0.719908,1,1,1,1,1,1
150,3,27777.3,120.159,27897.5,0.733,3,2000,17,72.0012,8322.31,0.72515,0.740924,0.724721,1,1,1,1,1,1
200,3,37882.6,177.838,38060.4,0.727,5,2000,17,52.7947,5623.1,0.71936,0.733698,0.718973,1,1,1,1,1,1
36,4,3500.97,15.8777,3516.85,0.718,0,2000,17,571.27,62981.3,0.71115,0.72226,0.710702,1.92549,1.87085,1.92524,0.481371,0.058464,0.0534789
50,4,4954.41,16.4947,4970.91,0.731,0,2000,17,403.68,60625.6,0.723472,0.737988,0.722993,1.89539,2.45311,1.89724,0.473848,0.0766595,0.0527012
100,4,10155.5,19.6003,10175.1,0.728,0,2000,17,196.938,51019.5,0.720292,0.734958,0.719908,1.83636,4.31043,1.84112,0.459089,0.134701,0.0511423
150,4,14559.7,20.0102,14579.7,0.733,2,2000,17,137.365,49974.5,0.72515,0.740924,0.724721,1.90782,6.00488,1.91344,0.476954,0.187652,0.0531511
200,4,19380.9,21.0319,19401.9,0.727,3,2000,17,103.195,47546.9,0.71936,0.733698,0.718973,1.95464,8.45563,1.96168,0.488659,0.264238,0.0544912
36,8,1206.4,7.83837,1214.24,0.719,0,2000,17,1657.82,127577,0.711899,0.723783,0.711496,5.58776,3.78966,5.57615,0.69847,0.157903,0.174255
50,8,1478.34,9.04799,1487.39,0.731,0,2000,17,1352.86,110522,0.723472,0.737988,0.722993,6.35208,4.47206,6.34064,0.794009,0.186336,0.198145
100,8,2906.27,11.1559,2917.43,0.725,0,2000,17,688.167,89638.3,0.71711,0.731924,0.716822,6.41684,7.57318,6.42126,0.802105,0.315549,0.200664
150,8,4279.67,12.6423,4292.31,0.727,0,2000,17,467.326,79099.4,0.718974,0.73446,0.718692,6.49053,9.50451,6.49941,0.811316,0.396021,0.203107
200,8,5738.58,15.74,5754.32,0.732,6,2000,17,348.518,63532.3,0.724406,0.739253,0.723927,6.60138,11.2984,6.61423,0.825173,0.470768,0.206695
36,16,618.55,13.4076,631.957,0.72,0,2000,17,3233.37,74584.3,0.713198,0.72438,0.712712,10.8982,2.21551,10.714,0.681137,0.0692347,0.223208
50,16,852.712,11.1077,863.82,0.73,0,2000,17,2345.46,90027.8,0.722349,0.737106,0.721917,11.0126,3.64281,10.9178,0.688286,0.113838,0.227454
100,16,1647.43,16.9176,1664.34,0.727,0,2000,17,1214.02,59110,0.719549,0.733332,0.719114,11.3201,4.99397,11.2558,0.707508,0.156061,0.234496
150,16,2501.72,16.2607,2517.98,0.73,10,2000,17,799.45,61497.8,0.722158,0.737494,0.721777,11.1033,7.38951,11.0793,0.693955,0.230922,0.230819
200,16,3211.57,21.6708,3233.24,0.728,13,2000,17,622.748,46145.1,0.720482,0.734585,0.720048,11.7956,8.20634,11.7716,0.737227,0.256448,0.245241
36,26,679.888,15.2377,695.126,0.722,0,2000,17,2941.66,65626.6,0.714882,0.727135,0.714441,9.91497,1.94943,9.74036,0.381345,0.0609196,0.167937
50,26,890.28,17.0939,907.374,0.731,0,2000,17,2246.48,58500.5,0.723472,0.737988,0.722993,10.5479,2.36712,10.3937,0.405687,0.0739724,0.179203
100,26,1703.32,15.8811,1719.2,0.725,11,2000,17,1174.18,62967.9,0.717304,0.731553,0.716963,10.9487,5.3199,10.8967,0.421102,0.166247,0.187874
150,26,2509.86,16.3322,2526.19,0.731,17,2000,17,796.857,61228.9,0.723283,0.738374,0.722852,11.0673,7.3572,11.0433,0.425664,0.229913,0.190402
200,26,3357.64,31.0456,3388.69,0.731,18,2000,17,595.656,32210.6,0.723283,0.738374,0.722852,11.2825,5.72827,11.2316,0.433942,0.179008,0.193648
36,49,974.955,8.04331,982.998,0.72,0,2000,17,2051.38,124327,0.712644,0.725333,0.71229,6.91424,3.6931,6.88788,0.141107,0.167868,0.0970125
50,49,1287.79,8.46974,1296.26,0.724,6,2000,17,1553.04,118067,0.716749,0.7296,0.71631,7.29197,4.77738,7.27554,0.148816,0.217154,0.102472
100,49,2378.08,11.9813,2390.07,0.725,31,2000,17,841.013,83463.5,0.717304,0.731553,0.716963,7.84206,7.05149,7.8381,0.160042,0.320522,0.110396
150,49,3377.11,18.8243,3395.93,0.734,38,2000,17,592.223,53122.9,0.726084,0.742207,0.725656,8.22517,6.3832,8.21496,0.167861,0.290145,0.115704
200,49,4457.26,19.9454,4477.21,0.731,35,2000,17,448.706,50136.8,0.723472,0.737988,0.722993,8.49907,8.91621,8.50093,0.17345,0.405282,0.119731
36,32,911.526,4.38818,915.914,0.723,0,2000,17,2194.12,227885,0.715816,0.728365,0.715375,7.39537,6.76927,7.39237,0.231105,0.564106,0.168008
50,32,1056.1,4.8964,1060.99,0.73,0,2000,17,1893.77,204232,0.722723,0.736359,0.722199,8.89176,8.26386,8.88886,0.277867,0.688655,0.202019
100,32,2283.39,10.4528,2293.84,0.726,0,2000,17,875.891,95668.1,0.718427,0.732442,0.718038,8.16728,8.08261,8.16689,0.255227,0.673551,0.185611
150,32,2922.56,13.6327,2936.19,0.732,0,2000,17,684.331,73353.2,0.724406,0.739253,0.723927,9.50444,8.81404,9.50123,0.297014,0.734503,0.215937
200,32,4452.08,18.7648,4470.85,0.728,0,2000,17,449.228,53291.2,0.720482,0.734585,0.720048,8.50895,9.47719,8.51302,0.265905,0.789766,0.193478
36,32,721.086,6.69218,727.778,0.719,0,2000,17,2773.59,149428,0.711899,0.723783,0.711496,9.3485,4.43873,9.30335,0.292141,0.739788,0.244825
50,32,1040.6,9.14578,1049.74,0.728,0,2000,17,1921.98,109340,0.720482,0.734585,0.720048,9.02421,4.42425,8.98413,0.282007,0.737375,0.236425
100,32,1902.62,17.0672,1919.68,0.728,0,2000,17,1051.18,58592.1,0.720669,0.734221,0.720189,9.8018,4.95021,9.75867,0.306306,0.825035,0.256807
150,32,2890.83,26.1124,2916.95,0.732,0,2000,17,691.842,38296,0.724024,0.74005,0.723646,9.60875,4.60161,9.56393,0.300274,0.766935,0.251682
