NumTrees,TrainingTime_ms,PredictionTime_ms,Accuracy,MemoryUsage_MB,SamplesPerTree,FeaturesPerTree,TrainingThroughput_samples_per_sec,PredictionThroughput_samples_per_sec,F1Score,Precision,Recall
10,5912.57,131.022,0.6525,0,400,17,67.6525,3052.93,0.634401,0.654843,0.637112
50,6219.75,650.137,0.6975,0,400,17,64.3113,615.254,0.689805,0.696564,0.688754
100,8943.63,1334.59,0.7075,0,400,17,44.7246,299.717,0.699567,0.707555,0.698365
150,11074.8,2029.8,0.695,0,400,17,36.1181,197.064,0.68798,0.69339,0.68695
200,15343.6,3955.61,0.695,0,400,17,26.0695,101.122,0.68845,0.693079,0.687429
10,12720,393.422,0.702,0,500,17,39.3082,1270.9,0.688252,0.709445,0.688508
50,9176.7,1962.25,0.724,0,500,17,54.4858,254.81,0.716749,0.72522,0.715335
100,16147.6,2079.06,0.718,0,500,17,30.9644,240.493,0.7104,0.719122,0.709098
150,14049.2,3218.19,0.726,0,500,17,35.5892,155.367,0.720032,0.725833,0.718651
200,24168.1,6526.86,0.718,0,500,17,20.6884,76.6065,0.711858,0.7175,0.710582
