NumTrees,TrainingTime_ms,PredictionTime_ms,Accuracy,MemoryUsage_MB,SamplesPerTree,FeaturesPerTree,TrainingThroughput_samples_per_sec,PredictionThroughput_samples_per_sec,F1Score,Precision,Recall
10,126079,179.683,0.712,88,50000,17,396.576,55653.6,0.704948,0.715396,0.704468
50,549152,657.317,0.7237,787,50000,17,91.0495,15213.4,0.718022,0.726051,0.717163
100,962830,1242.07,0.7249,896,50000,17,51.9302,8051.08,0.719551,0.72685,0.718648
150,1.48745e+06,3164.4,0.7262,786,50000,17,33.6147,3160.16,0.720726,0.728433,0.719816
200,1.98908e+06,2361.32,0.7247,643,50000,17,25.1372,4234.93,0.719268,0.726758,0.718374
10,119562,190.246,0.7132,0,50001,17,418.201,52563.6,0.705352,0.717946,0.705044
50,475536,1193.25,0.7237,0,50001,17,105.147,8380.47,0.718232,0.725738,0.717354
100,982966,2200.87,0.7242,0,50001,17,50.8675,4543.65,0.718702,0.726319,0.71782
150,1.5151e+06,2422.69,0.7243,201,50001,17,33.0019,4127.65,0.718667,0.726629,0.717796
200,2.01024e+06,4275.19,0.7254,107,50001,17,24.8732,2339.08,0.71991,0.727597,0.719012
