NumNodes,MPIProcesses,ThreadsPerProcess,TotalWorkers,NumTrees,TrainSamples,TestSamples,TrainingTime_ms,PredictionTime_ms,TotalTime_ms,Accuracy,F1Score,Precision,Recall,TrainingStrongScalingEfficiency,TrainingWeakScalingEfficiency,PredictionStrongScalingEfficiency,PredictionWeakScalingEfficiency,TrainingSpeedup,PredictionSpeedup,TrainingCommunicationOverhead_ms,PredictionCommunicationOverhead_ms,MemoryUsage_MB
4,4,1,4,36,2000,1000,2415.64,25.7693,2441.41,0.724,0.717295,0.72862,0.716732,1,1,1,1,1,1,1811.73,19.327,0
4,4,1,4,50,2000,1000,2523.52,32.8617,2556.38,0.723,0.717217,0.725983,0.716501,1,1,1,1,1,1,1892.64,24.6463,1
4,4,1,4,100,2000,1000,1464.42,69.8437,1534.27,0.734,0.727877,0.73857,0.727063,1,1,1,1,1,1,1098.32,52.3828,1
4,4,1,4,150,2000,1000,1837.52,97.7264,1935.24,0.734,0.72719,0.739908,0.7265,1,1,1,1,1,1,1378.14,73.2948,2
4,4,1,4,200,2000,1000,2536.38,130.3,2666.68,0.738,0.731465,0.743808,0.73066,1,1,1,1,1,1,1902.29,97.7247,2
4,4,2,8,36,2000,1000,763.647,25.595,789.242,0.724,0.717295,0.72862,0.716732,0.395411,3.16329,0.125851,1.00681,3.16329,1.00681,461.692,22.3738,0
4,4,2,8,50,2000,1000,883.689,35.628,919.317,0.723,0.717217,0.725983,0.716501,0.356958,2.85567,0.115294,0.922355,2.85567,0.922355,568.249,31.5203,0
4,4,2,8,100,2000,1000,1254.83,67.128,1321.96,0.734,0.727877,0.73857,0.727063,0.145879,1.16703,0.130057,1.04046,1.16703,1.04046,1071.78,58.3975,0
4,4,2,8,150,2000,1000,1907.78,100.694,2008.47,0.734,0.72719,0.739908,0.7265,0.120396,0.963171,0.121316,0.970532,0.963171,0.970532,1678.09,88.4778,0
4,4,2,8,200,2000,1000,2466.4,125.507,2591.91,0.738,0.731465,0.743808,0.73066,0.128547,1.02837,0.129773,1.03818,1.02837,1.03818,2149.35,109.22,0
4,4,4,16,36,2000,1000,793.241,25.2443,818.485,0.724,0.717295,0.72862,0.716732,0.19033,3.04527,0.0637998,1.0208,3.04527,1.0208,642.263,23.6337,0
4,4,4,16,50,2000,1000,877.751,35.656,913.407,0.723,0.717217,0.725983,0.716501,0.179687,2.87498,0.057602,0.921632,2.87498,0.921632,720.031,33.6021,0
4,4,4,16,100,2000,1000,1362.75,69.1128,1431.86,0.734,0.727877,0.73857,0.727063,0.067163,1.07461,0.063161,1.01058,1.07461,1.01058,1271.22,64.7476,0
4,4,4,16,150,2000,1000,1842.92,97.2811,1940.2,0.734,0.72719,0.739908,0.7265,0.0623166,0.997066,0.062786,1.00458,0.997066,1.00458,1728.08,91.1732,0
4,4,4,16,200,2000,1000,2666.32,126.389,2792.71,0.738,0.731465,0.743808,0.73066,0.0594543,0.951268,0.0644336,1.03094,0.951268,1.03094,2507.79,118.246,0
4,4,8,32,36,2000,1000,857.441,25.0329,882.474,0.724,0.717295,0.72862,0.716732,0.0880394,2.81726,0.0321693,1.02942,2.81726,1.02942,781.953,24.2277,0
4,4,8,32,50,2000,1000,851.787,35.2289,887.016,0.723,0.717217,0.725983,0.716501,0.0925819,2.96262,0.0291501,0.932803,2.96262,0.932803,772.927,34.202,0
4,4,8,32,100,2000,1000,1245.49,68.7453,1314.23,0.734,0.727877,0.73857,0.727063,0.0367432,1.17578,0.0317493,1.01598,1.17578,1.01598,1199.73,66.5627,0
4,4,8,32,150,2000,1000,2024.92,98.8778,2123.8,0.734,0.72719,0.739908,0.7265,0.0283578,0.907451,0.0308861,0.988354,0.907451,0.988354,1967.5,95.8239,0
4,4,8,32,200,2000,1000,2658.77,131.835,2790.61,0.738,0.731465,0.743808,0.73066,0.0298115,0.953968,0.030886,0.988351,0.953968,0.988351,2579.51,127.763,0
4,4,16,64,36,2000,1000,803.031,25.5998,828.631,0.724,0.717295,0.72862,0.716732,0.0470023,3.00815,0.0157285,1.00662,3.00815,1.00662,765.286,25.1972,0
4,4,16,64,50,2000,1000,905.571,33.2985,938.87,0.723,0.717217,0.725983,0.716501,0.0435416,2.78666,0.01542,0.986882,2.78666,0.986882,866.141,32.785,0
4,4,16,64,100,2000,1000,1555.54,67.1133,1622.65,0.734,0.727877,0.73857,0.727063,0.0147098,0.941426,0.0162607,1.04068,0.941426,1.04068,1532.65,66.0219,0
4,4,16,64,150,2000,1000,1875.58,105,1980.58,0.734,0.72719,0.739908,0.7265,0.0153079,0.979704,0.0145427,0.930731,0.979704,0.930731,1846.87,103.473,0
4,4,16,64,200,2000,1000,2535.56,133.643,2669.2,0.738,0.731465,0.743808,0.73066,0.0156301,1.00032,0.0152341,0.97498,1.00032,0.97498,2495.93,131.607,0
4,4,32,128,36,2000,1000,765.299,24.8451,790.144,0.724,0.717295,0.72862,0.716732,0.0246599,3.15646,0.00810313,1.0372,3.15646,1.0372,746.427,24.6437,0
4,4,32,128,50,2000,1000,892.275,33.6461,925.921,0.723,0.717217,0.725983,0.716501,0.0220952,2.82819,0.00763036,0.976687,2.82819,0.976687,872.56,33.3893,0
4,4,32,128,100,2000,1000,1304.49,71.9097,1376.4,0.734,0.727877,0.73857,0.727063,0.00877033,1.1226,0.00758804,0.97127,1.1226,0.97127,1293.05,71.364,0
4,4,32,128,150,2000,1000,1886.91,98.0067,1984.92,0.734,0.72719,0.739908,0.7265,0.00760798,0.973822,0.00779015,0.997139,0.973822,0.997139,1872.56,97.2432,0
4,4,32,128,200,2000,1000,2465.31,129.731,2595.04,0.738,0.731465,0.743808,0.73066,0.00803772,1.02883,0.00784677,1.00439,1.02883,1.00439,2445.5,128.713,0
