NumTrees,TrainingTime_ms,PredictionTime_ms,Accuracy,MemoryUsage_MB,SamplesPerTree,FeaturesPerTree,TrainingThroughput_samples_per_sec,PredictionThroughput_samples_per_sec,F1Score,Precision,Recall
10,363.793,3.16912,0.54,0,50,17,137.441,15777.3,0.479873,0.509324,0.506494
50,1679.52,15.441,0.46,0,50,17,29.7704,3238.13,0.432535,0.434046,0.439935
100,3605,30.955,0.48,0,50,17,13.8696,1615.25,0.458333,0.460069,0.462662
150,4967.05,45.4032,0.54,0,50,17,10.0663,1101.24,0.50665,0.519048,0.516234
200,5456.45,32.2182,0.46,0,50,17,9.16346,1551.92,0.432535,0.434046,0.439935
10,882.353,5.66802,0.59,0,100,17,113.333,17642.8,0.574645,0.577674,0.574663
50,7064.55,56.2408,0.57,0,100,17,14.1552,1778.07,0.562608,0.5625,0.562831
100,14034.2,116.615,0.57,0,100,17,7.12543,857.522,0.564733,0.564815,0.565687
150,23010.1,176.052,0.61,0,100,17,4.34592,568.014,0.603296,0.603084,0.603631
200,29610.5,125.022,0.58,0,100,17,3.37718,799.862,0.573864,0.573737,0.574459
10,4813.59,31.558,0.68,0,150,17,31.1618,4753.15,0.662669,0.673862,0.660974
50,20017.7,133.391,0.673333,0,150,17,7.49335,1124.51,0.668007,0.667416,0.66915
100,40343.3,273.585,0.686667,0,150,17,3.71809,548.275,0.68259,0.681965,0.684775
150,59157.6,396.911,0.7,0,150,17,2.5356,377.919,0.69773,0.698185,0.702398
200,79540.5,288.485,0.68,0,150,17,1.88583,519.958,0.677188,0.67735,0.680959
10,4639.4,48.7273,0.655,0,200,17,43.109,4104.48,0.648596,0.650041,0.647991
50,34241.6,237.195,0.73,0,200,17,5.84086,843.19,0.728261,0.72782,0.730033
100,68727.1,466.253,0.74,0,200,17,2.91006,428.951,0.738325,0.737845,0.740156
150,101509,710.434,0.735,0,200,17,1.97026,281.518,0.733501,0.733173,0.735651
200,138789,943.594,0.725,0,200,17,1.44104,211.955,0.721934,0.721717,0.722188
10,10989.3,45.8087,0.736,0,250,17,22.7493,5457.48,0.726749,0.72928,0.725123
50,57089.6,379.497,0.728,0,250,17,4.37908,658.766,0.720854,0.720854,0.720854
100,116028,777.491,0.764,0,250,17,2.15466,321.547,0.759815,0.758476,0.762397
150,182803,600.154,0.736,0,250,17,1.36759,416.56,0.73041,0.72952,0.731691
200,224282,1509.62,0.752,0,250,17,1.11467,165.605,0.744797,0.745525,0.744171
