NumTrees,TrainingTime_ms,PredictionTime_ms,Accuracy,MemoryUsage_MB,SamplesPerTree,FeaturesPerTree,TrainingThroughput_samples_per_sec,PredictionThroughput_samples_per_sec,F1Score,Precision,Recall
10,203.684,1.88701,0.52,0,50,17,245.478,26497,0.479167,0.492063,0.493506
50,1004.01,9.26077,0.54,0,50,17,49.8005,5399.12,0.479873,0.509324,0.506494
100,2646.91,40.2933,0.48,0,50,17,18.8899,1240.9,0.448217,0.452206,0.457792
150,6891.3,59.6874,0.5,0,50,17,7.25553,837.698,0.463749,0.471429,0.475649
200,5492.15,83.7521,0.5,0,50,17,9.10391,597,0.474569,0.47861,0.480519
10,2273.09,15.3403,0.65,0,100,17,43.9929,6518.76,0.648277,0.65,0.652999
50,8726.23,36.7216,0.6,0,100,17,11.4597,2723.19,0.59596,0.596146,0.597715
100,18970.8,156.874,0.57,0,100,17,5.27126,637.455,0.562608,0.5625,0.562831
150,28413.6,234.244,0.59,0,100,17,3.51944,426.906,0.582952,0.582792,0.583231
200,35021.7,308.571,0.58,0,100,17,2.85537,324.075,0.571603,0.571603,0.571603
10,4613.27,17.3885,0.68,0,150,17,32.5149,8626.39,0.674208,0.673701,0.674964
50,24340.5,86.9542,0.693333,0,150,17,6.16256,1725.05,0.686592,0.686592,0.686592
100,47830.7,180.252,0.666667,0,150,17,3.13606,832.167,0.66283,0.6625,0.665334
150,75157.1,268.51,0.686667,0,150,17,1.99582,558.639,0.681557,0.680903,0.682776
200,97145.2,533.408,0.686667,0,150,17,1.54408,281.21,0.683502,0.683277,0.686773
10,11069.2,64.6824,0.665,0,200,17,18.0681,3092.03,0.657805,0.660294,0.657
50,43186.9,315.889,0.71,0,200,17,4.63104,633.134,0.707071,0.706724,0.707561
100,90741.1,315.844,0.735,0,200,17,2.20407,633.225,0.732046,0.731818,0.732311
150,137363,482.115,0.77,0,200,17,1.456,414.839,0.768122,0.767461,0.76941
200,184512,646.796,0.74,0,200,17,1.08394,309.216,0.738325,0.737845,0.740156
10,15088.9,104.535,0.748,0,250,17,16.5685,2391.53,0.737932,0.742492,0.735468
50,72303.2,261.831,0.724,0,250,17,3.45766,954.816,0.717819,0.717136,0.718719
100,148561,1027.33,0.756,0,250,17,1.68282,243.349,0.751673,0.750388,0.754187
150,223512,792.297,0.74,0,250,17,1.11851,315.538,0.735389,0.734213,0.737767
200,293515,2053.25,0.728,0,250,17,0.851746,121.758,0.721567,0.721064,0.722167
